,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-13,INSD,Instadose Pharma Corp.,35.0,-10.0,-22.22,2.625B,28.571428571428573
1,2021-11-13,JAMF,Jamf Holding Corp.,32.14,-9.14,-22.14,3.814B,31.113876789047914
2,2021-11-13,NTCO,Natura &Co Holding S.A.,12.23,-2.51,-17.03,8.509B,81.76614881439085
3,2021-11-13,CELH,"Celsius Holdings, Inc.",83.35,-14.36,-14.7,7.278B,11.99760047990402
4,2021-11-13,IS,ironSource Ltd.,11.05,-1.38,-11.1,6.973B,90.49773755656108
5,2021-11-13,IOVA,"Iovance Biotherapeutics, Inc.",21.07,-2.43,-10.34,3.306B,47.460844803037496
6,2021-11-13,CPNG,"Coupang, Inc.",26.58,-2.61,-8.94,50.662B,37.622272385252074
7,2021-11-13,FCFS,"FirstCash, Inc.",78.64,-7.2,-8.39,3.18B,12.71617497456765
8,2021-11-13,HPE,Hewlett Packard Enterprise Company,14.64,-1.3,-8.16,19.15B,68.30601092896174
9,2021-11-13,TIL,"Instil Bio, Inc.",20.68,-1.57,-7.06,2.663B,48.355899419729205
10,2021-11-13,SYNH,"Syneos Health, Inc.",95.72,-6.88,-6.71,10.639B,10.447137484329295
11,2021-11-13,AZN,AstraZeneca PLC,58.8,-4.12,-6.55,183.363B,17.006802721088437
12,2021-11-13,PATH,UiPath Inc.,53.7,-3.75,-6.53,27.577B,18.6219739292365
13,2021-11-13,VYGVF,Voyager Digital Ltd.,17.19,-1.19,-6.48,2.79B,58.17335660267597
14,2021-11-13,REGI,"Renewable Energy Group, Inc.",52.42,-3.42,-6.12,2.635B,19.07668828691339
15,2021-11-13,ONEM,"1Life Healthcare, Inc.",21.03,-1.35,-6.03,4.038B,47.551117451260104
16,2021-11-13,BROS,Dutch Bros Inc.,62.06,-3.94,-5.97,3.294B,16.113438607798905
17,2021-11-13,SHCR,"Sharecare, Inc.",7.77,-0.49,-5.93,2.634B,128.70012870012872
18,2021-11-13,VMEO,"Vimeo, Inc.",22.89,-1.36,-5.61,3.784B,43.6871996505024
19,2021-11-13,WPLCF,Wise plc,10.65,-0.61,-5.42,10.592B,93.89671361502347
20,2021-11-13,BMBL,Bumble Inc.,36.55,-2.01,-5.21,6.747B,27.359781121751027
21,2021-11-13,OGZPY,Public Joint Stock Company Gazprom,9.14,-0.5,-5.19,111.338B,109.40919037199124
22,2021-11-13,ADCT,ADC Therapeutics SA,26.46,-1.42,-5.09,2.071B,37.79289493575208
